plane,gene,assection_data_set_id
coronal,Chrna5,75826567
coronal,Chrna6,75551461
coronal,Chrna6,75651213
coronal,Chrna7,74511738
coronal,Chrna9,75826568
coronal,Chrnb1,75888752
coronal,Chrnb2,2097
coronal,Chrnb3,70436747
coronal,Chrnd,74988680
coronal,Chrne,75888738
coronal,Chrng,75551466
coronal,Chst1,71836872
coronal,Chst10,74657931
coronal,Chst11,73931625
coronal,Chst12,74881144
coronal,Chst14,74657927
coronal,Chst15,70613978
coronal,Chst2,266
coronal,Chst2,72109633
coronal,Chst8,72080187
coronal,Chuk,1685
coronal,Ciao1,2051
coronal,Cib2,71836803
coronal,Cidea,73992929
coronal,Cirh1a,77925143
coronal,Cish,70634310
coronal,Cit,75079801
coronal,Cited1,74641326
coronal,Ckap2,74363353
coronal,Ckb,70927826
coronal,Ckm,76115727
coronal,Cks2,74512038
coronal,Cks2,80517357
coronal,Clca1,2105
coronal,Clca2,70301278
coronal,Clcn2,72119656
coronal,Clcn5,75749741
coronal,Cldn1,70612723
coronal,Cldn11,77280580
coronal,Cldn12,2107
coronal,Cldn5,79490120
coronal,Clec11a,112195815
coronal,Clgn,74425567
coronal,Clic1,67809267
coronal,Clic4,73769125
coronal,Clic5,73636094
coronal,Clic5,77874610
coronal,Clic6,1984
coronal,Clip2,2137
coronal,Clip4,75774680
coronal,Clk2,356286
coronal,Clmn,73931626
coronal,Clns1a,67881553
coronal,Clock,273
coronal,Clptm1,544901
coronal,Clptm1l,1675
coronal,Clrn3,2023
coronal,Clstn1,73769319
coronal,Clstn2,73636091
coronal,Clta,74819690
coronal,Clu,275
coronal,Clu,79490114
coronal,Clvs2,71924374
coronal,Cmbl,1651
coronal,Cmklr1,72340129
coronal,Cmtm3,2099
coronal,Cmtm4,2101
coronal,Cnih,278
coronal,Cnih2,2109
coronal,Cnih3,39
coronal,Cnksr3,74273121
coronal,Cnnm1,73992930
coronal,Cnnm2,74581378
coronal,Cnot7,321203
coronal,Cnp,1175
coronal,Cnp,77371841
coronal,Cnp,79488913
coronal,Cnr1,283
coronal,Cnr1,79591675
coronal,Cnr2,2111
coronal,Cntfr,75651138
coronal,Cntn1,414
coronal,Cntn3,79591567
coronal,Cntn4,73992718
coronal,Cntn6,74882147
coronal,Cntnap1,73992931
coronal,Cntnap2,544712
coronal,Cntnap3,71924451
coronal,Cntnap4,70928361
coronal,Coch,71717614
coronal,Col11a1,71064195
coronal,Col12a1,73817431
coronal,Col14a1,74658056
coronal,Col15a1,74511791
coronal,Col16a1,74273122
coronal,Col18a1,287
coronal,Col19a1,74658066
coronal,Col23a1,73636092
coronal,Col24a1,73636093
coronal,Col25a1,71924301
coronal,Col27a1,74272916
coronal,Col4a2,73592540
coronal,Col4a5,73992932
coronal,Col4a6,72103841
coronal,Col5a1,75147768
coronal,Col5a2,71016666
coronal,Col5a3,74272917
coronal,Col6a1,290
coronal,Col6a1,77869097
coronal,Col6a2,1177
coronal,Col6a3,75081393
coronal,Col9a1,71064061
coronal,Col9a2,74750022
coronal,Col9a3,70928304
coronal,Copa,1689
coronal,Copb2,1341
coronal,Copg,67779873
coronal,Copg2,74819259
coronal,Cops4,74882166
coronal,Cops7b,356493
coronal,Copz2,275874
coronal,Coro1c,75651191
coronal,Coro2b,72077454
coronal,Coro6,77280432
coronal,Cort,72472766
coronal,Cotl1,72472769
coronal,Cox4i1,73992933
coronal,Cox6a2,71836876
coronal,Cox6c,74641307
coronal,Cox7b,67870085
coronal,Cpe,1691
coronal,Cpeb1,72472770
coronal,Cplx1,67752308
coronal,Cplx3,70928340
coronal,Cpne2,70743844
coronal,Cpne3,74988745
coronal,Cpne5,544709
coronal,Cpne6,73769322
coronal,Cpne7,73817432
coronal,Cpne8,73520974
coronal,Cpt1a,1478
coronal,Cpt1c,2117
coronal,Cr1l,2125
coronal,Crabp1,1179
coronal,Crat,2119
coronal,Creb3l1,112197858
coronal,Creg1,73931627
coronal,Creg2,74882195
coronal,Crh,292
coronal,Crhbp,80516310
coronal,Crhr1,297
coronal,Crhr2,79907934
coronal,Crim1,72283807
coronal,Crip2,70612727
coronal,Crispld1,72077456
coronal,Crlf1,72283808
coronal,Crlf2,1882
coronal,Crlf3,112195365
coronal,Crls1,1148
coronal,Crtac1,75749739
coronal,Crtc1,71250309
coronal,Cry2,302
coronal,Cryaa,2127
coronal,Cryab,74357575
coronal,Crym,73592526
coronal,Cryzl1,304
coronal,Cs,74658130
coronal,Csdc2,70634234
coronal,Csdc2,77887884
coronal,Csf2rb2,73992937
coronal,Csk,75651192
coronal,Csnk1a1,74658110
coronal,Cspg5,73931385
coronal,Csrnp2,74047914
coronal,Csrp1,2129
coronal,Csrp2bp,276275
coronal,Csrp3,77332671
coronal,Cst3,69120555
coronal,Cst6,75041560
coronal,Cstb,1343
coronal,Cstf2,2131
coronal,Ctbp2,70615583
coronal,Ctf1,1695
coronal,Ctgf,1183
coronal,Ctgf,79556634
coronal,Cth,75042264
coronal,Cthrc1,72472772
coronal,Ctla4,75079745
coronal,Ctnna2,74363355
coronal,Ctnnb1,196
coronal,Ctnnb1,79591729
coronal,Ctnnbip1,70805935
coronal,Ctnnd1,74641320
coronal,Ctps,1185
coronal,Ctsb,67779877
coronal,Ctsl,1187
coronal,Ctss,77371797
coronal,Ctsw,75041420
coronal,Ctsz,71015377
coronal,Cttn,70616018
coronal,Ctu1,70927830
coronal,Ctxn1,74586669
coronal,Cubn,75041430
coronal,Cuedc2,79556640
coronal,Cul4a,75749399
